Word / POS / COUNT
incidentally / None / 1
seeking / VERB / 1
continue / VERB / 2
harvest / NOUN / 1
challenged / VERB / 2
right / NOUN / 1
cease / VERB / 1
relief / NOUN / 1
issued / VERB / 6
temporary / ADJECTIVE / 1
restraining / VERB / 3
directing / VERB / 1
resume / VERB / 2
obeyed / VERB / 2
request / NOUN / 1
jurisdiction / NOUN / 3
removed / VERB / 3
predominantly / None / 1
presumably / None / 2
refused / VERB / 1
whereupon / CONJUNCTION / 1
permanent / ADJECTIVE / 2
referring / VERB / 1
case / NOUN / 5
bowers / NOUN / 1
county / NOUN / 1
orders / NOUN / 1
strenuously / None / 2
argued / VERB / 1
i / PRONOUN / 23
decisions / NOUN / 4
conclusive / ADJECTIVE / 2
statewide / ADJECTIVE / 1
instructions / NOUN / 2
cannot / MODAL_AUXILIARY / 7
accept / VERB / 1
view / NOUN / 4
lawyer / NOUN / 2
administrator / NOUN / 2
briefly / None / 2
considerations / NOUN / 1
juridical / ADJECTIVE / 1
principle / NOUN / 3
does / VERB / 3
constitute / VERB / 1
binding / VERB / 4
precedent / NOUN / 3
appealed / VERB / 2
action / NOUN / 7
heard / VERB / 2
contrary / NOUN / 1
established / VERB / 2
correctly / None / 1
received / VERB / 1
authoritative / ADJECTIVE / 1
interpretation / NOUN / 6
statewide / None / 2
confidence / NOUN / 2
policy / NOUN / 3
overthrown / VERB / 1
compelling / ADJECTIVE / 1
need / NOUN / 2
am / VERB / 2
nullify / VERB / 1
company / NOUN / 3
concurs / VERB / 1
filed / VERB / 1
appeal / NOUN / 3
considering / VERB / 1
issue / VERB / 3
relating / VERB / 2
interstate / ADJECTIVE / 1
recruitment / NOUN / 1
opinion / NOUN / 2
sustaining / VERB / 1
further / None / 2
legislative / ADJECTIVE / 1
intent / NOUN / 1
defeated / VERB / 1
substantial / ADJECTIVE / 2
specifically / None / 1
limited / VERB / 3
regulatory / ADJECTIVE / 1
administrative / ADJECTIVE / 3
implications / NOUN / 1
appeals / NOUN / 1
leave / VERB / 7
hanging / VERB / 2
midair / NOUN / 1
ramifications / NOUN / 1
enormous / ADJECTIVE / 1
applied / VERB / 2
equally / None / 2
nonagricultural / ADJECTIVE / 1
might / NOUN / 1
place / VERB / 2
acting / VERB / 1
strikebreakers / NOUN / 1
dominant / ADJECTIVE / 1
presumptuous / ADJECTIVE / 1
settle / VERB / 3
judicial / ADJECTIVE / 1
finality / NOUN / 1
achieved / VERB / 6
jeopardy / NOUN / 1
compliance / NOUN / 2
avenues / NOUN / 1
immediately / None / 2
opened / VERB / 2
inclined / VERB / 1
notify / VERB / 1
noncompliance / NOUN / 2
hearing / NOUN / 1
finding / NOUN / 1
clear / ADJECTIVE / 1
withdrawal / NOUN / 1
some / None / 1
$11 / NOUN / 1
million / CONJUNCTION / 1
finance / VERB / 1
corollary / NOUN / 1
operation / NOUN / 2
before / PREPOSITION / 3
due / None / 1
problem / NOUN / 5
essentially / None / 2
defining / VERB / 1
defined / VERB / 1
include / VERB / 1
elements / NOUN / 2
specifications / NOUN / 1
membership / NOUN / 2
like / ADJECTIVE / 1
broader / ADJECTIVE / 1
connotation / NOUN / 1
including / VERB / 1
wage / NOUN / 1
demands / NOUN / 2
associated / VERB / 1
mechanics / NOUN / 1
uncertainty / NOUN / 1
definition / NOUN / 1
solicited / VERB / 1
advised / VERB / 1
narrower / ADJECTIVE / 1
gayety / NOUN / 1
6 / CONJUNCTION / 1
reputation / NOUN / 1
giving / VERB / 1
fun / NOUN / 1
year's / NOUN / 2
promises / VERB / 1
fine / ADJECTIVE / 2
tradition / NOUN / 1
grinsfelder / NOUN / 2
louisiana / NOUN / 2
city / NOUN / 6
food / NOUN / 6
colorful / ADJECTIVE / 1
hospitality / NOUN / 1
guests / NOUN / 6
philmont / NOUN / 1
exactly / None / 3
offer / VERB / 2
working / VERB / 5
prospects / NOUN / 1
keeping / VERB / 1
surprises / NOUN / 1
hats / NOUN / 1
tell / VERB / 2
excitement / NOUN / 1
festivities / NOUN / 3
early / None / 3
jazz / NOUN / 1
combo / NOUN / 1
beat / NOUN / 1
hours / NOUN / 7
lester / NOUN / 1
lanin's / NOUN / 1
orchestra / NOUN / 1
dancing / NOUN / 2
louchheim / NOUN / 1
phase / NOUN / 2
globetrotter / NOUN / 1
knows / VERB / 2
bad / ADJECTIVE / 4
month / NOUN / 1
r's / NOUN / 1
oysters / NOUN / 1
lots / NOUN / 3
specialties / NOUN / 1
tried / VERB / 3
chef / NOUN / 1
selected / VERB / 2
treated / VERB / 1
scenic / ADJECTIVE / 1
effects / NOUN / 1
flowers / NOUN / 1
reproductions / NOUN / 1
buildings / NOUN / 1
grillwork / NOUN / 1
things / NOUN / 15
k. / NOUN / 1
cohen / NOUN / 1
assist / NOUN / 1
van / NOUN / 5
hollander / NOUN / 1
display / NOUN / 1
gala / NOUN / 2
annual / ADJECTIVE / 6
bundle / NOUN / 4
means / VERB / 2
admission / NOUN / 1
clothing / NOUN / 1
contributions / NOUN / 3
household / NOUN / 1
equipment / NOUN / 4
bric-a-brac / NOUN / 1
stock / VERB / 2
shelves / NOUN / 2
shop's / NOUN / 1
headquarters / NOUN / 2
1213 / CONJUNCTION / 1
convenience / NOUN / 1
centers / NOUN / 2
suburbs / NOUN / 1
donations / NOUN / 1
deposited / VERB / 1
addition / NOUN / 2
bundles / NOUN / 3
pay / VERB / 1
cost / NOUN / 2
dinners / NOUN / 1
like / VERB / 5
dancing / VERB / 1
welcomed / VERB / 1
bernhard / NOUN / 1
blumenthal / NOUN / 1
city's / NOUN / 1
successful / ADJECTIVE / 1
fund-raisers / NOUN / 1
competence / NOUN / 1
indicated / VERB / 1
past / DETERMINER / 3
totals / VERB / 1
$840,000 / NOUN / 1
little / ADJECTIVE / 4
most / None / 1
feminine / ADJECTIVE / 1
men / NOUN / 10
mostly / None / 1
husbands / NOUN / 1
taken / VERB / 4
glazer / NOUN / 1
committee / NOUN / 5
responsibility / NOUN / 1
staffing / VERB / 1
shop / NOUN / 1
theodore / NOUN / 1
kapnek / NOUN / 1
newburger / NOUN / 1
hostesses / NOUN / 1
arthur / NOUN / 1
loeb / NOUN / 1
making / VERB / 1
arrangements / NOUN / 1
lichtenstein / NOUN / 1
rose / NOUN / 1
secretarial / ADJECTIVE / 1
duties / NOUN / 1
ralph / NOUN / 1
taussig / NOUN / 1
aides / NOUN / 2
lewis / NOUN / 1
kaufnabb / NOUN / 1
samuel / NOUN / 2
weinberg / NOUN / 1
allan / NOUN / 1
goodman / NOUN / 1
controllers / NOUN / 1
paul / NOUN / 5
stone / NOUN / 7
quell / NOUN / 1
charge / NOUN / 1
admittance / NOUN / 1
9 / CONJUNCTION / 2
besides / PREPOSITION / 1
facilities / NOUN / 1
hold / VERB / 2
pre-fair / ADJECTIVE / 1
pink / ADJECTIVE / 1
parade / NOUN / 2
dessert / NOUN / 1
bridge / NOUN / 1
monday / NOUN / 3
april / NOUN / 4
17 / CONJUNCTION / 1
chapel / NOUN / 2
assembly / NOUN / 1
robert / NOUN / 9
o. / NOUN / 3
spurdle / NOUN / 3
includes / VERB / 1
moody / NOUN / 1
wilkinson / NOUN / 1
ethel / NOUN / 1
coles / NOUN / 1
harold / NOUN / 1
lacy / NOUN / 1
chance / NOUN / 5
2d / NUMBER / 1
harcourt / NOUN / 1
trimble / NOUN / 1
moller / NOUN / 1
zeising / NOUN / 1
kilhour / NOUN / 1
hughes / NOUN / 1
cauffman / NOUN / 1
baringer / NOUN / 1
clyde / NOUN / 1
newman / NOUN / 1
natalie / NOUN / 1
collett / NOUN / 1
newbold / NOUN / 1
commentator / NOUN / 1
models / NOUN / 1
baird / NOUN / 1
meyle / NOUN / 1
hole / NOUN / 2
harrity / NOUN / 1
kloman / NOUN / 1
wolcott / NOUN / 1
wheeler / NOUN / 1
a / NOUN / 1
boyd / NOUN / 1
mrs / NOUN / 1
vernon / NOUN / 1
putt / NOUN / 1
clifton / NOUN / 1
lisle / NOUN / 1
third / NUMBER / 1
decades / NOUN / 1
honorary / ADJECTIVE / 1
invites / VERB / 1
boys / NOUN / 3
camp / VERB / 1
estate / NOUN / 1
ends / NOUN / 2
proud / ADJECTIVE / 2
camping-out / ADJECTIVE / 1
year-round / ADJECTIVE / 1
schedule / NOUN / 1
sub-zero / NOUN / 1
temperatures / NOUN / 1
registered / VERB / 1
worry / VERB / 2
mothers / NOUN / 2
love / VERB / 1
cotty / NOUN / 1
felske / NOUN / 1
smythe / NOUN / 1
posters / NOUN / 1
invitation / NOUN / 2
arrange / VERB / 1
exhibit / NOUN / 1
sale / NOUN / 2
paintings / NOUN / 1
sculpture / NOUN / 1
preview / NOUN / 1
sponsors / NOUN / 1
artists / NOUN / 2
following / VERB / 3
proceeds / NOUN / 1
section / NOUN / 1
further / VERB / 1
science / NOUN / 1
education / NOUN / 1
social / ADJECTIVE / 6
national / ADJECTIVE / 7
levels / NOUN / 2
monte / NOUN / 1
tyson / NOUN / 1
100 / CONJUNCTION / 3
included / VERB / 1
exhibition / NOUN / 1
marc / NOUN / 1
shoettle / NOUN / 2
ben / NOUN / 1
shahn / NOUN / 1
nicholas / NOUN / 1
marsicano / NOUN / 1
alfred / NOUN / 2
loen / NOUN / 1
milton / NOUN / 1
avery / NOUN / 1
agreed / VERB / 2
portrait / NOUN / 1
family / NOUN / 10
wins / VERB / 1
door / NOUN / 1
sixth / NUMBER / 1
calendar / NOUN / 1
originated / VERB / 1
units / NOUN / 1
combined / VERB / 2
form / VERB / 1
fund-raiser / NOUN / 1
jerome / NOUN / 1
blum / NOUN / 2
meyer / NOUN / 1
schultz / NOUN / 2
co-chairmen / NOUN / 1
assisting / VERB / 1
chairmen / NOUN / 2
various / ADJECTIVE / 2
committees / NOUN / 2
alvin / NOUN / 1
leonard / NOUN / 2
malmud / NOUN / 1
fernberger / NOUN / 1
cushman / NOUN / 1
berton / NOUN / 1
korman / NOUN / 1
rosen / NOUN / 2
jacques / NOUN / 1
zinman / NOUN / 1
evelyn / NOUN / 1
i. / NOUN / 2
kamens / NOUN / 1
langsdorf / NOUN / 1
liss / NOUN / 1
gordon / NOUN / 1
blumberg / NOUN / 1
oscar / NOUN / 1
bregman / NOUN / 1
kershbaum / NOUN / 1
sabol / NOUN / 1
volney / NOUN / 1
ludwick / NOUN / 1
evans / NOUN / 1
rockhall / NOUN / 1
md. / NOUN / 1
app / NOUN / 1
tuesday / NOUN / 5
voorhees / NOUN / 1
anderson / NOUN / 2
entertained / VERB / 4
luncheon / NOUN / 4
coulson / NOUN / 1
major / NOUN / 1
morris / NOUN / 1
son-in-law / NOUN / 2
glennon / NOUN / 1
spend / VERB / 2
days / NOUN / 5
brigantine / NOUN / 1
janssen / NOUN / 2
announce / VERB / 3
birth / NOUN / 2
patricia / NOUN / 1
lynn / NOUN / 2
marella / NOUN / 2
mary / NOUN / 1
ann / NOUN / 2
orcutt / NOUN / 2
donald / NOUN / 1
eileen / NOUN / 1
grant / NOUN / 2
spending / VERB / 3
visiting / VERB / 1
florida / NOUN / 2
heinze / NOUN / 1
entertaining / VERB / 3
lehner / NOUN / 1
vienna / NOUN / 1
ingo / NOUN / 1
dussa / NOUN / 1
dusseldorf / NOUN / 1
germany / NOUN / 1
bietnar / NOUN / 1
haaek / NOUN / 1
brelin / NOUN / 1
hoaps / NOUN / 1
mitchell / NOUN / 1
anne / NOUN / 1
visit / VERB / 1
clearwater / NOUN / 1
warren / NOUN / 1
taylor / NOUN / 2
usn. / NOUN / 1
greenwich / NOUN / 1
easter / NOUN / 1
latter's / NOUN / 1
walbridge / NOUN / 1
deforest / NOUN / 1
emmert / NOUN / 2
ashman / NOUN / 1
temple / NOUN / 1
pa. / NOUN / 1
merner / NOUN / 1
wednesday / NOUN / 4
brown / NOUN / 1
bermuda / NOUN / 1
godwin / NOUN / 1
vieth / NOUN / 3
susan / NOUN / 1
conrad / NOUN / 2
wall / NOUN / 12
nell / NOUN / 1
kennedy / NOUN / 2
quietly / None / 1
celebrated / VERB / 1
february / NOUN / 2
graduated / VERB / 1
louise / NOUN / 1
mcgehee / NOUN / 1
attending / VERB / 1
wellesley / NOUN / 1
mass. / NOUN / 1
stella / NOUN / 1
hayward / NOUN / 1
tulane / NOUN / 1
delta / NOUN / 1
kappa / NOUN / 1
epsilon / NOUN / 1
fraternity / NOUN / 1
comus / NOUN / 2
jointly / None / 1
shrove / NOUN / 1
midnight / NOUN / 1
ballroom / NOUN / 1
downtown / NOUN / 2
balls / NOUN / 1
rex / NOUN / 1
mcconnell / NOUN / 1
raymond / NOUN / 1
walker / NOUN / 1
hosts / NOUN / 2
walkers / NOUN / 1
honoring / VERB / 1
mcconnell's / NOUN / 1
debutante / NOUN / 3
barbara / NOUN / 1
williams / NOUN / 1
lady / NOUN / 1
hardy / NOUN / 1
feted / VERB / 1
hostess / NOUN / 2
edwin / NOUN / 1
socola / NOUN / 1
waveland / NOUN / 1
miss. / NOUN / 2
vieux / NOUN / 1
carre / NOUN / 1
restaurant / NOUN / 1
o'clock / None / 1
richmond / NOUN / 2
honoree / NOUN / 1
dane / NOUN / 1
katherine / NOUN / 1
vickery / NOUN / 2
attends / VERB / 1
rejoin / VERB / 1
eugene / NOUN / 1
achaeans / NOUN / 1
masquerade / NOUN / 1
margaret / NOUN / 1
pierson / NOUN / 2
chosen / VERB / 2
presented / VERB / 1
ladies / NOUN / 1
waiting / VERB / 3
clayton / NOUN / 2
nairne / NOUN / 2
eleanor / NOUN / 1
eustis / NOUN / 3
chapman / NOUN / 1
irwin / NOUN / 1
leatherman / NOUN / 1
robinsonville / NOUN / 1
helene / NOUN / 1
rowley / NOUN / 1
large / ADJECTIVE / 3
municipal / ADJECTIVE / 1
hall / NOUN / 1
ablaze / None / 1
color / NOUN / 1
shown / VERB / 4
bright / ADJECTIVE / 2
array / NOUN / 1
chic / ADJECTIVE / 1
ballgowns / NOUN / 1
worn / VERB / 3
participating / VERB / 1
maskers' / NOUN / 1
dances / NOUN / 1
queen / NOUN / 3
chose / VERB / 3
white / ADJECTIVE / 2
brocade / NOUN / 1
slim / ADJECTIVE / 1
panels / NOUN / 1
tomato-red / ADJECTIVE / 1
green / ADJECTIVE / 2
satin / NOUN / 2
extending / VERB / 1
down / PREPOSITION / 3
jordan / NOUN / 1
taffeta / NOUN / 2
frock / NOUN / 1
skirt / NOUN / 1
fringed / VERB / 1
tiers / NOUN / 1
crimson / ADJECTIVE / 1
silk / NOUN / 2
slippers / NOUN / 1
maids / NOUN / 1
deep / ADJECTIVE / 1
greenish / ADJECTIVE / 1
lace / NOUN / 2
fenwick / NOUN / 1
maid / NOUN / 1
ashes / NOUN / 1
roses / NOUN / 1
slipper / NOUN / 1
feringa / NOUN / 1
achaeans' / NOUN / 1
eggshell / NOUN / 1
filmy / ADJECTIVE / 1
dress / NOUN / 2
decolletage / NOUN / 1
trimmed / VERB / 1
edging / NOUN / 1
tulle / NOUN / 1
reily's / NOUN / 1
olive-green / ADJECTIVE / 1
street / NOUN / 1
length / NOUN / 1
embroidered / VERB / 1
bodice / NOUN / 1
gold / ADJECTIVE / 1
threads / NOUN / 1
golden / ADJECTIVE / 1
sequins / NOUN / 1
beads / NOUN / 1
eight / CONJUNCTION / 4
acquired / VERB / 1
pool / NOUN / 45
enlightening / ADJECTIVE / 1
vigorous / ADJECTIVE / 1
rigorous / ADJECTIVE / 1
unrewarding / ADJECTIVE / 1
learned / VERB / 1
lot / NOUN / 4
dash / NOUN / 1
hydrochemistry / NOUN / 1
plumbing / NOUN / 1
pump-priming / NOUN / 1
grounding / NOUN / 1
principles / NOUN / 1
mailed-fist-in-velvet-glove / ADJECTIVE / 1
diplomacy / NOUN / 1
amateur / ADJECTIVE / 1
experts / NOUN / 1
fine-feathered / ADJECTIVE / 1
yard / NOUN / 1
birds / NOUN / 1
true / None / 1
lessened / VERB / 1
built / VERB / 4
pools / NOUN / 6
thereby / None / 1
diluting / VERB / 1
spectacular / ADJECTIVE / 1
attractions / NOUN / 1
cling / VERB / 1
owner / NOUN / 2
innate / ADJECTIVE / 1
generosity / NOUN / 1
prompts / VERB / 1
share / VERB / 2
errors / NOUN / 1
solutions / NOUN / 1
plunge / NOUN / 2
pious / ADJECTIVE / 1
hope / NOUN / 4
profit / VERB / 1
experience / NOUN / 2
everything / PRONOUN / 5
contribute / VERB / 1
difficulties / NOUN / 1
speak / VERB / 1
varying / VERB / 1
viewpoints / NOUN / 2
wooded / ADJECTIVE / 1
near / PREPOSITION / 5
field / NOUN / 1
high / None / 2
hill / NOUN / 1
dreaming / VERB / 1
shimmering / VERB / 1
outside / PREPOSITION / 2
windows / NOUN / 1
close / VERB / 3
fill / VERB / 1
picture / NOUN / 3
damp / ADJECTIVE / 2
towels / NOUN / 2
squashed / VERB / 1
tubes / NOUN / 1
suntan / NOUN / 1
oil / NOUN / 1
semi-inflated / ADJECTIVE / 1
plastic / NOUN / 2
toys / NOUN / 1
likely / ADJECTIVE / 2
nearer / None / 1
proximity / NOUN / 1
main / ADJECTIVE / 2
quarters / NOUN / 2
violation / NOUN / 2
privacy / NOUN / 1
annoying / ADJECTIVE / 1
noise / NOUN / 1
let's-make-your-house-our-club / ADJECTIVE / 1
attitude / NOUN / 1
out-of-sight / NOUN / 1
lead / VERB / 1
out-of-mind / NOUN / 1
easily / None / 3
trek / NOUN / 1
dilemma / NOUN / 1
picturesque / ADJECTIVE / 1
sylvan / ADJECTIVE / 1
pond / NOUN / 2
forest / NOUN / 1
leaf / NOUN / 2
root / NOUN / 1
hazard / NOUN / 1
well-being / NOUN / 1
yet / CONJUNCTION / 3
grassy / ADJECTIVE / 1
turn / VERB / 3
floating / VERB / 2
lawn / NOUN / 1
grass / NOUN / 1
mowed / VERB / 1
choosing / VERB / 1
sensible / ADJECTIVE / 2
how / OTHER / 2
appealing / ADJECTIVE / 1
weather / NOUN / 1
colder / ADJECTIVE / 1
climes / NOUN / 1
unglamorous / ADJECTIVE / 1
hardly / None / 3
salt / NOUN / 1
hay / NOUN / 1
ice / NOUN / 3
floe / NOUN / 1
studded / VERB / 1
logs / NOUN / 1
neat / ADJECTIVE / 1
plastic-covered / ADJECTIVE / 1
joy / NOUN / 2
behold / VERB / 1
recommend / VERB / 2
patented / VERB / 1
covers / NOUN / 1
prevent / VERB / 2
junk / NOUN / 1
flora / NOUN / 1
fauna / NOUN / 1
generally / None / 1
accidentally / None / 1
wintering / VERB / 1
location / NOUN / 1
perfect / ADJECTIVE / 2
counts / NOUN / 1
naturally / None / 1
dictated / VERB / 1
extent / NOUN / 2
shape / NOUN / 1
size / NOUN / 1
space / NOUN / 2
restful / ADJECTIVE / 1
immediate / ADJECTIVE / 1
environs / NOUN / 1
neither / CONJUNCTION / 2
greensward / NOUN / 1
woods / NOUN / 2
pavement / NOUN / 1
solve / VERB / 1
owning / NOUN / 1
involve / VERB / 1
pertaining / VERB / 1
coping / VERB / 1
demands / VERB / 1
stern / ADJECTIVE / 2
discipline / NOUN / 1
yourself / PRONOUN / 4
talked / VERB / 3
transoceanic / ADJECTIVE / 1
jet / NOUN / 1
ago / None / 2
mud-sweat-and-tears / ADJECTIVE / 1
construction / NOUN / 3
period / NOUN / 3
solaced / VERB / 1
dips / NOUN / 1
home-comings / NOUN / 1
cool / ADJECTIVE / 1
collected / VERB / 1
laid / VERB / 4
nearby / None / 1
lord / NOUN / 2
master's / NOUN / 1
delectation / NOUN / 1
pool-side / NOUN / 2
gatherings / NOUN / 1
rosy / ADJECTIVE / 1
fantasies / NOUN / 1
witnessing / VERB / 1
population / NOUN / 2
explosion / NOUN / 1
backyards / NOUN / 1
respective / ADJECTIVE / 2
quadrupled / VERB / 1
lien / NOUN / 1
park / NOUN / 1
sharks / NOUN / 1
pool-owners / NOUN / 1
perpetual / ADJECTIVE / 1
handymen / NOUN / 1
step / NOUN / 2
clothes / NOUN / 1
naive / ADJECTIVE / 2
maybe / None / 1
results / NOUN / 1
impulsive / ADJECTIVE / 1
swim / VERB / 3
unexpected / ADJECTIVE / 1
unsettling / VERB / 1
obvious / ADJECTIVE / 1
rules / NOUN / 3
popularity / NOUN / 1
ratings / NOUN / 1
subnormal / ADJECTIVE / 1
unabashed / ADJECTIVE / 1
collusion / NOUN / 1
coincided / VERB / 1
precisely / None / 1
present / VERB / 1
fruits / NOUN / 1
efforts / NOUN / 1
herewith / None / 1
single / ADJECTIVE / 1
code / NOUN / 1
owners / NOUN / 1
foremost / None / 1
allowed / VERB / 3
blanket / NOUN / 1
circle / NOUN / 1
forty / CONJUNCTION / 1
lashes / NOUN / 1
finally / None / 1
managed / VERB / 1
coerce / VERB / 1
welcome / ADJECTIVE / 1
telephoning / VERB / 1
beforehand / None / 1
ringers / NOUN / 1
either / None / 2
legitimate / ADJECTIVE / 1
invitees / NOUN / 1
want / VERB / 5
potlatches / NOUN / 1
telephone / VERB / 2
planning / VERB / 1
so / CONJUNCTION / 3
end / VERB / 3
splashing / VERB / 1
mob / NOUN / 2
looks / VERB / 1
august / NOUN / 3
adults / NOUN / 2
chaperoned / VERB / 1
accompanying / VERB / 1
eye / NOUN / 1
gaggle / NOUN / 1
gabbling / VERB / 1
backs / NOUN / 1
safeguard / NOUN / 1
bottle / NOUN / 2
tolerated / VERB / 1
lingo / NOUN / 1
bar / NOUN / 3
protesting / VERB / 1
dunk / VERB / 1
sanity / NOUN / 1
solvency / NOUN / 1
wine / NOUN / 1
merchant / NOUN / 2
beating / NOUN / 2
inadvertently / None / 1
neighborhood / NOUN / 3
free-drink / NOUN / 1
designated / VERB / 1
teen-agers / NOUN / 2
definite / ADJECTIVE / 1
saved / VERB / 2
constant / ADJECTIVE / 2
requests / NOUN / 1
seven / CONJUNCTION / 9
feel / VERB / 2
brutal / ADJECTIVE / 1
fortunate / ADJECTIVE / 1
worked / VERB / 2
logistics / NOUN / 1
swimmers / NOUN / 2
weekend / NOUN / 1
enjoying / VERB / 2
alfresco / NOUN / 1
lunch / NOUN / 1
gently / None / 1
usher / VERB / 1
island / NOUN / 1
chairs / NOUN / 1
strategically / None / 1
amuse / VERB / 1
ready / ADJECTIVE / 4
merge / VERB / 1
dressing / VERB / 1
undressing / VERB / 1
exact / ADJECTIVE / 1
bath / NOUN / 1
swimmers' / NOUN / 1
homes / NOUN / 1
avoid / VERB / 2
excuse / NOUN / 1
dripping / VERB / 1
extension / NOUN / 1
outdoor / ADJECTIVE / 1
route / NOUN / 5
parking / VERB / 1
extra / ADJECTIVE / 4
suits / NOUN / 1
mainly / None / 1
inexpensive / ADJECTIVE / 1
conveniences / NOUN / 1
life-preservers / NOUN / 1
buckle-on / ADJECTIVE / 1
kapok-filled / ADJECTIVE / 1
readiness / NOUN / 1
put / VERB / 6
localities / NOUN / 1
fenced / VERB / 2
minimum / ADJECTIVE / 1
height / NOUN / 1
5 / CONJUNCTION / 1
unfenced / ADJECTIVE / 1
running / VERB / 4
horseplay / NOUN / 1
underwater / ADJECTIVE / 1
endurance / NOUN / 1
contests / NOUN / 1
inexpert / ADJECTIVE / 1
versions / NOUN / 1
polo / NOUN / 1
diving / VERB / 1
boards / NOUN / 4
non-skid / NOUN / 1
surfaces / NOUN / 1
coco / NOUN / 1
matting / NOUN / 1
awful / ADJECTIVE / 1
chlorine / NOUN / 2
rots / VERB / 1
grit-impregnated / ADJECTIVE / 1
paints / NOUN / 1
divers / NOUN / 1
enjoined / VERB / 1
leap / VERB / 1
else / None / 3
onto / PREPOSITION / 2
shallow / ADJECTIVE / 2
steps / NOUN / 1
littlest / ADJECTIVE / 1
introduced / VERB / 1
ladder / NOUN / 1
affords / VERB / 1
bottles / NOUN / 1
safe / ADJECTIVE / 1
distance / NOUN / 1
drinking / VERB / 1
glasses / NOUN / 1
banned / VERB / 1
favor / NOUN / 1
metal / NOUN / 1
cups / NOUN / 1
acquire / VERB / 1
earnestly / None / 1
mental / ADJECTIVE / 1
chat / NOUN / 1
agent / NOUN / 1
prepared / VERB / 1
pitfall / NOUN / 1
plunges / NOUN / 1
empty / ADJECTIVE / 1
manner / NOUN / 1
lawsuits / NOUN / 1
soignee / ADJECTIVE / 1
alas / OTHER / 1
happen / VERB / 1
careful / ADJECTIVE / 1
contest / NOUN / 1
widow / NOUN / 1
leisure / NOUN / 1
nursing / VERB / 1
pool's / NOUN / 1
pristine / ADJECTIVE / 1
purity / NOUN / 1
care / NOUN / 2
feeding / VERB / 1
ph / NOUN / 1
content / NOUN / 1
filtering / VERB / 2
vacuuming / VERB / 2
weekly / ADJECTIVE / 2
bi-monthly / ADJECTIVE / 1
close / None / 1
add / VERB / 2
housekeeping / NOUN / 1
chores / NOUN / 1
hope / VERB / 2
work / VERB / 7
brief / ADJECTIVE / 1
hydraulics / NOUN / 1
builders / NOUN / 1
appreciated / VERB / 1
future / ADJECTIVE / 2
crisis / NOUN / 2
high / ADJECTIVE / 5
temperature / NOUN / 1
poison / NOUN / 1
overnight / None / 1
walls / NOUN / 3
algaecide / NOUN / 1
help / NOUN / 2
full-time / ADJECTIVE / 1
nurse / NOUN / 1
trap / NOUN / 2
dirt-catcher / NOUN / 1
filter / NOUN / 1
clean / ADJECTIVE / 1
bobby / NOUN / 1
pins / NOUN / 2
shed / VERB / 1
rust / NOUN / 1
marks / NOUN / 1
cleaning / NOUN / 2
fair-weather / NOUN / 1
lend / VERB / 1
scrubbing / VERB / 1
furbishing / VERB / 1
happened / VERB / 1
remove / VERB / 1
drain / NOUN / 2
grate / NOUN / 2
emptied / VERB / 1
stand / VERB / 4
by / None / 2
brush / VERB / 1
bottom / NOUN / 2
dirt / NOUN / 1
stain / NOUN / 1
dry / VERB / 1
6- / CONJUNCTION / 1
8-inch / ADJECTIVE / 1
pipe / NOUN / 1
wash / VERB / 1
debris / NOUN / 2
6-inch / ADJECTIVE / 1
torrent / NOUN / 1
released / VERB / 1
cause / VERB / 1
comment / NOUN / 2
passes / VERB / 1
neighboring / VERB / 1
properties / NOUN / 1
forget / VERB / 1
located / VERB / 2
sloping / VERB / 1
drainage / NOUN / 1
desirable / ADJECTIVE / 1
pumping / VERB / 1
scooping / VERB / 1
lighting / NOUN / 1
dramatizes / VERB / 1
scene / NOUN / 1
lights / NOUN / 1
attract / VERB / 1
insect / NOUN / 1
miles / NOUN / 7
visitors / NOUN / 1
seldom / None / 1
providing / VERB / 1
slapping / VERB / 1
floodlight / NOUN / 1
tree / NOUN / 1
taught / VERB / 1
pays / VERB / 1
pipes / NOUN / 1
brushes / NOUN / 1
pool-care / NOUN / 1
letter / NOUN / 2
regularly / None / 1
responsible / ADJECTIVE / 1
aspect / NOUN / 1
wasn't / VERB / 4
turn / NOUN / 3
know / NOUN / 1
valves / NOUN / 1
ship / NOUN / 1
hitting / VERB / 1
discover / VERB / 1
putting / VERB / 2
america / NOUN / 3
faces / VERB / 1
forthrightly / None / 1
depicted / VERB / 1
message / NOUN / 1
determine / VERB / 1
whether / CONJUNCTION / 2
governed / VERB / 1
endure / VERB / 1
hour / NOUN / 2
peril / NOUN / 1
opportunity / NOUN / 1
counsel / NOUN / 1
incapable / ADJECTIVE / 2
self-delusion / NOUN / 1
grave / ADJECTIVE / 1
surmount / VERB / 1
republic / NOUN / 1
peoples / NOUN / 1
prosper / VERB / 1
serve / VERB / 2
aching / VERB / 1
liberty / NOUN / 2
washington / NOUN / 10
benjamin / NOUN / 2
franklin / NOUN / 6
jefferson / NOUN / 12
alexander / NOUN / 4
hamilton / NOUN / 9
madison / NOUN / 10
jay / NOUN / 9
destinies / NOUN / 1
certain / ADJECTIVE / 5
respects / NOUN / 1
task / NOUN / 2
show / VERB / 3
1789 / CONJUNCTION / 1
wilderness / NOUN / 1
footstep / NOUN / 1
guide / VERB / 1
successors / NOUN / 1
easier / ADJECTIVE / 1
use / VERB / 4
jefferson's / NOUN / 4
words / NOUN / 2
